"id","name","neighbourhood_group_cleansed","neighbourhood_cleansed","property_type","room_type","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","bedrooms","beds","price"
9025565,"Flex 2BR Loft: Cleaning CDC guidelines implemented","Brooklyn","Greenpoint","Entire rental unit","Entire home/apt",7,4.86,4.71,5,5,5,4.57,4.71,1,2,139
9026203,"New York. Room near Subway and Ocean.","Brooklyn","Gravesend","Private room in residential home","Private room",71,4.85,4.93,4.96,4.99,4.94,4.66,4.89,1,2,80
9028493,"Room in Charming and Spacious Greenpoint Apartment","Brooklyn","Greenpoint","Private room in rental unit","Private room",160,4.69,4.77,4.48,4.86,4.85,4.81,4.66,1,1,84
9033218,"HUGE room in beautiful apartment","Brooklyn","Flatbush","Private room in rental unit","Private room",6,4.83,4.83,4.5,5,5,4.83,4.83,1,2,50
9035181,"Cute Clinton Hill brownstone apt!","Brooklyn","Clinton Hill","Entire rental unit","Entire home/apt",3,5,5,5,5,5,5,5,1,1,125
9043652,"Great 1 bedroom apartment in the heart of soho","Manhattan","Little Italy","Entire rental unit","Entire home/apt",23,4.96,4.96,4.91,4.87,5,5,4.91,1,1,102
9045427,"Sunrise Condominium Apartment","Staten Island","Grymes Hill","Entire condominium (condo)","Entire home/apt",1,5,0,0,0,5,5,4,1,1,200
9046095,"Private & Quaint West Village Gem!","Manhattan","West Village","Entire rental unit","Entire home/apt",1,4,5,3,5,5,4,3,1,1,229
9046490,"A beautiful bedroom in an artfully designed flat.","Brooklyn","Flatbush","Private room in rental unit","Private room",31,4.83,4.9,4.93,4.93,4.97,4.87,4.83,1,1,49
9046808,"Sunny East Harlem one bedroom","Manhattan","East Harlem","Entire rental unit","Entire home/apt",2,4.5,4.5,4,4,4.5,3.5,4.5,1,1,95
9047816,"Beautiful Home 1 Stop from Midtown","Queens","Long Island City","Private room in residential home","Private room",82,4.82,4.91,4.38,5,5,4.95,4.81,1,1,100
9049607,"Room In Central and Spacious Williamsburg Loft!","Brooklyn","Williamsburg","Private room in rental unit","Private room",3,5,5,4.5,5,5,5,4.5,1,1,67
9050105,"Prospect Park 3 bedroom, Sleeps 8","Brooklyn","Prospect-Lefferts Gardens","Entire rental unit","Entire home/apt",152,4.69,4.78,4.79,4.89,4.82,4.83,4.79,3,4,150
9050144,"Sunny Apt, Clinton Hill Brownstone","Brooklyn","Bedford-Stuyvesant","Private room in rental unit","Private room",2,4.5,4,4.5,4,5,4,5,1,1,80
9050373,"Peaceful & Colorful Brooklyn Oasis Near Park+Train","Brooklyn","Flatbush","Entire rental unit","Entire home/apt",28,4.81,5,4.78,4.85,4.96,4.67,4.81,1,2,95
9051314,"Private Room in Fab East Village","Manhattan","East Village","Private room in rental unit","Private room",2,5,5,5,5,5,5,5,1,1,110
9051437,"Bright, spacious and cozy","Brooklyn","Crown Heights","Entire rental unit","Entire home/apt",73,4.92,4.96,4.95,4.92,4.95,4.55,4.82,1,1,100
9051763,"Room in 3BR Condo. Washer & Dryer, gorgeous roof.","Brooklyn","Bedford-Stuyvesant","Private room in condominium (condo)","Private room",18,4.83,5,4.72,4.88,4.88,4.59,4.65,1,1,60
9058854,"Bright, Sunny Room in Crown Heights","Brooklyn","Crown Heights","Private room in rental unit","Private room",1,5,5,5,5,5,5,5,1,1,25
9059397,"Spacious apartment close to 96St St","Manhattan","Upper East Side","Entire residential home","Entire home/apt",1,4,4,2,5,5,5,4,2,3,180
9061145,"A room for you in Williamsburg! Only for Women.","Brooklyn","Williamsburg","Private room in rental unit","Private room",37,4.92,4.89,5,5,5,4.89,4.97,1,1,90
9062257,"Spacious 1-bedroom in Crown Heights","Brooklyn","Crown Heights","Entire rental unit","Entire home/apt",13,4.67,4.92,4.83,4.92,5,4.33,4.5,1,1,100
9062515,"Adorable, Artsy 1BR; Hip Location!","Brooklyn","Greenpoint","Entire rental unit","Entire home/apt",48,4.83,4.94,4.87,4.98,4.89,4.87,4.77,1,2,115
9063139,"Prime Location & Tech Entrepreneurs","Manhattan","East Village","Private room in rental unit","Private room",3,5,5,4.67,5,5,5,5,1,1,106
9063266,"Sunny 1BR in Heart of Williamsburg","Brooklyn","Williamsburg","Entire rental unit","Entire home/apt",1,5,5,5,5,5,5,5,1,1,250
9064688,"2 bedroom with yard! Near L train!","Brooklyn","Williamsburg","Entire rental unit","Entire home/apt",1,5,5,5,5,5,4,5,2,1,150
9064714,"1870's 3-story house private bedroom","Queens","Long Island City","Private room in townhouse","Private room",40,5,4.98,5,5,5,5,4.97,1,2,83
9066389,"Cozy 2 bedroom in heart of LES","Manhattan","Lower East Side","Entire rental unit","Entire home/apt",2,5,5,5,5,5,5,5,2,2,190
9074921,"Spacious Williamsburg Apartment","Brooklyn","Williamsburg","Entire rental unit","Entire home/apt",12,4.82,4.91,4.91,5,4.73,4.91,4.91,1,2,150
9078066,"Hip 1 bedroom apt 10' to manhattan","Queens","Ditmars Steinway","Entire rental unit","Entire home/apt",6,4.75,4.25,4.75,5,5,4.5,4.75,1,2,145
9078222,"Prospect Park 3 bdrm, Sleeps 8 (#2)","Brooklyn","Prospect-Lefferts Gardens","Entire rental unit","Entire home/apt",148,4.78,4.83,4.73,4.94,4.82,4.84,4.81,3,4,150
9078632,"Private room in Manhattan","Manhattan","Washington Heights","Private room in rental unit","Private room",53,4.7,4.83,4.5,4.88,4.94,4.6,4.88,1,1,75
9079335,"Spacious Apartment in East Village","Manhattan","Lower East Side","Entire rental unit","Entire home/apt",4,4.75,4.75,4.75,5,5,4.75,5,1,2,185
9079542,"Cozy room + backyard in Bushwick","Brooklyn","Bushwick","Private room in rental unit","Private room",2,4,5,4,3,4,4.5,4.5,1,1,40
9079871,"NYCHaven1:","Brooklyn","East Flatbush","Entire residential home","Entire home/apt",285,4.65,4.81,4.73,4.92,4.85,4.39,4.73,3,7,140
9080286,"Quiet room close to subway.","Brooklyn","Prospect Heights","Private room in rental unit","Private room",40,4.95,5,4.97,4.97,4.97,4.85,4.92,1,1,75
9089306,"East Village, 1 Bed, Clean & Clear.","Manhattan","East Village","Entire rental unit","Entire home/apt",10,4.7,4.8,4.8,4.9,4.9,4.8,4.8,1,2,135
9091710,"Sunny East Village Apartment","Manhattan","East Village","Entire rental unit","Entire home/apt",6,5,5,4.83,4.83,4.83,5,4.83,1,1,130
9093219,"Serenity Space","Manhattan","Harlem","Private room in townhouse","Private room",92,4.95,4.99,4.97,4.97,5,4.73,4.9,1,1,80
9093358,"2 bedroom apt on Upper East Side","Manhattan","Upper East Side","Entire rental unit","Entire home/apt",3,5,4.67,5,5,5,5,5,2,2,100
9093866,"2-bedroom in Landmark building on W116th. Special","Manhattan","Harlem","Entire rental unit","Entire home/apt",11,4.82,4.73,4.27,4.91,4.91,4.45,4.64,2,2,140
9096478,"Open, private room, Central Harlem","Manhattan","Harlem","Private room in rental unit","Private room",3,3.67,5,4,4.5,4,4,4.5,1,1,85
9096938,"Sunny plant-filled Park Slope apt","Brooklyn","South Slope","Private room in rental unit","Private room",9,5,5,4.89,5,5,5,5,1,2,70
9104108,"Cozy Large 1 BR Apt -Hamilton Hts","Manhattan","Harlem","Entire rental unit","Entire home/apt",1,5,5,5,5,5,5,5,1,2,110
9106711,"Union Sq Gem - New Reno, Large, Sun","Manhattan","Gramercy","Entire rental unit","Entire home/apt",5,4.4,5,4.2,4.6,5,4.4,3.8,1,2,128
9106735,"West Village Apartment","Manhattan","West Village","Entire rental unit","Entire home/apt",5,4.6,5,5,3.8,5,5,4.6,1,2,180
9107118,"Bright loft style room in Bed-Stuy","Brooklyn","Bedford-Stuyvesant","Private room in rental unit","Private room",2,5,5,5,5,5,4.5,5,1,1,45
9107772,"Beautiful 1-Bedroom near Columbia!","Manhattan","Harlem","Entire rental unit","Entire home/apt",17,4.88,4.88,4.88,4.88,5,4.44,4.88,1,1,100
9108196,"Cozy Room","Queens","Laurelton","Private room in residential home","Private room",75,4.28,4.48,4.45,4.61,4.61,4.35,4.44,1,1,36
9110077,"Room in East Williamsburg","Brooklyn","Williamsburg","Private room in rental unit","Private room",6,4.83,5,4.5,5,4.67,4.5,4.33,1,1,75
9111254,"Bright & Spacious Private Bedroom - Queen Bed","Brooklyn","Crown Heights","Private room in rental unit","Private room",7,5,5,4.71,5,5,5,5,1,1,35
9112676,"!! CLASSIC, LUXURY & CHARM !! By Central Park UWS","Manhattan","Upper West Side","Entire rental unit","Entire home/apt",45,4.84,4.89,4.73,4.87,4.8,4.98,4.69,1,2,250
9113032,"Large 1 Bedroom apartment in 1897 landmarked house","Brooklyn","Crown Heights","Entire rental unit","Entire home/apt",124,4.85,4.97,4.87,4.98,4.96,4.57,4.81,1,2,140
9114773,"Cozy Upper East Side 1 bedroom apt","Manhattan","Upper East Side","Entire rental unit","Entire home/apt",4,4.5,5,4.75,4.75,4.5,5,4.5,1,2,195
9116018,"Full-Sized Harlem Room with Style","Manhattan","Harlem","Private room in rental unit","Private room",17,5,5,4.94,5,5,5,5,1,1,60
9116126,"SUNNY & VIBRANT 1 Bedroom Apt on CENTRAL PARK ☀️","Manhattan","Upper West Side","Entire rental unit","Entire home/apt",24,4.96,4.96,4.83,5,5,5,5,1,2,202
9117976,"Cozy Artistic Haven","Manhattan","Harlem","Private room in rental unit","Private room",1,4,5,4,5,4,4,5,1,1,36
9118958,"Nice Room in private house","Queens","Richmond Hill","Private room in residential home","Private room",6,4.83,5,5,5,5,4.83,5,1,1,51
9125917,"Cosy private room in the City !","Manhattan","Kips Bay","Private room in rental unit","Private room",4,4,4.5,3.75,4.75,5,4.75,4.25,1,1,74
9127011,"Luxury 1 Bed apt in the heart of chelsea","Manhattan","Chelsea","Entire rental unit","Entire home/apt",8,4.57,5,4.14,4.57,4.86,5,5,1,2,157
9127163,"Quiet retreat- exclusive. Access NYC attractions.","Queens","Holliswood","Private room in residential home","Private room",4,4.25,4,4.25,4.5,4.5,4.75,4.5,2,3,79
9129113,"Private Room in Bushwick - Brooklyn","Brooklyn","Bushwick","Private room in rental unit","Private room",1,3,3,4,2,4,1,2,1,1,60
9132614,"Room in the heart of Williamsburg","Brooklyn","Williamsburg","Private room in rental unit","Private room",2,5,5,4.5,5,5,5,5,1,1,75
9136581,"East Village","Manhattan","East Village","Entire rental unit","Entire home/apt",5,5,5,4.6,4.8,5,5,4.8,2,3,180
9138319,"Huge 2BR in the heart of Brooklyn","Brooklyn","Prospect-Lefferts Gardens","Entire rental unit","Entire home/apt",10,4.8,4.9,4.5,5,5,4.8,4.8,2,2,150
9145070,"Great Deal! Steps to Central Park","Manhattan","Upper West Side","Entire rental unit","Entire home/apt",41,4.65,4.75,4.83,4.65,4.8,4.93,4.8,1,2,180
9145150,"Lrg Private Bedroom in Williamsburg","Brooklyn","Williamsburg","Private room in rental unit","Private room",2,5,5,4,5,5,5,5,1,1,50
9146595,"Super Cozy Private Apt on Gnd Fl. in Brooklyn Home","Brooklyn","Bedford-Stuyvesant","Entire rental unit","Entire home/apt",155,4.9,4.95,4.94,4.99,4.97,4.61,4.88,1,3,116
9148875,"Lovely E. Harlem Brownstone PH","Manhattan","East Harlem","Entire rental unit","Entire home/apt",110,4.75,4.81,4.59,4.89,4.88,4.65,4.7,1,2,150
9149930,"Prime west village ~Charming 1BR","Manhattan","West Village","Entire rental unit","Entire home/apt",18,4.5,4.67,4.44,4.76,4.83,4.94,4.24,1,2,160
9150194,"Sunny Private Room nr 4 Train Lines","Brooklyn","Williamsburg","Private room in rental unit","Private room",108,4.79,4.94,4.61,4.93,4.96,4.68,4.83,1,1,79
9151490,"Wdful  2 br/2bth apt in Williamsbug","Brooklyn","Williamsburg","Entire rental unit","Entire home/apt",1,5,5,5,5,5,5,4,2,2,243
9151677,"Light filled apt. on quiet street","Brooklyn","Clinton Hill","Entire rental unit","Entire home/apt",1,5,5,5,5,5,5,5,1,2,100
9152795,"Studio Bedroom Apt in Williamsburg","Brooklyn","Williamsburg","Entire rental unit","Entire home/apt",359,4.91,4.94,4.96,4.97,4.97,4.9,4.82,1,1,120
9152932,"Spacious Duplex w/ Additional Loft.","Brooklyn","Bushwick","Entire rental unit","Entire home/apt",1,4,4,4,5,4,4,5,2,3,200
9153256,"NEWLY RENOVATED 1BDR PRIME LOCATION","Manhattan","Flatiron District","Entire rental unit","Entire home/apt",1,4,4,4,4,5,5,4,1,1,150
9155212,"Cozy East Village Room","Manhattan","East Village","Private room in rental unit","Private room",15,4.93,5,4.73,5,5,5,5,1,1,72
